Tags frequency output for: relativity.txt
Stop words file: stopwords.txt
Generated: Sat Nov 08 17:13:12 EST 2025
--------------------------------------------------
relativity           : 199
declare              : 1
deduced              : 1
deductible           : 1
deductive            : 1
deep                 : 1
deeply               : 1
defining             : 1
deletions            : 1
demanded             : 1
departed             : 1
departs              : 1
dependence           : 1
depicted             : 1
der                  : 1
descend              : 1
designating          : 1
desire               : 1
destined             : 1
destiny              : 1
detach               : 1
detect               : 1
detectable           : 1
detected             : 1
detection            : 1
determining          : 1
detour               : 1
develop              : 1
develops             : 1
deviate              : 1
deviated             : 1
devoid               : 1
devoted              : 1
dials                : 1
die                  : 1
differentials        : 1
differentiate        : 1
differently          : 1
diminished           : 1
diminution           : 1
dimishes             : 1
disagreement         : 1
discard              : 1
discarded            : 1
disclaim             : 1
disclaimers          : 1
disclose             : 1
discontinue          : 1
discovering          : 1
discovers            : 1
discrepancies        : 1
discussing           : 1
disdain              : 1
disdainful           : 1
disk                 : 1
disorder             : 1
display              : 1
displayed            : 1
disproved            : 1
disregarding         : 1
dissatisfied         : 1
distasteful          : 1
distinguish          : 1
distinguishable      : 1
distributor          : 1
disturb              : 1
disturbing           : 1
diverge              : 1
divide               : 1
divided              : 1
dividing             : 1
division             : 1
donation             : 1
donors               : 1
double               : 1
downloading          : 1
downward             : 1
downwards            : 1
drawing              : 1
dropped              : 1
dust                 : 1
dutch                : 1
early                : 1
eccentrically        : 1
eccentricity         : 1
education            : 1
educational          : 1
ein                  : 1
elapses              : 1
elect                : 1
electricity          : 1
electrified          : 1
electrodynamic       : 1
electrostatic        : 1
elegantly            : 1
eliminate            : 1
ellipsoid            : 1
emancipation         : 1
embraces             : 1
emerged              : 1
emphasised           : 1
employ               : 1
employee             : 1
employees            : 1
emptiness            : 1
enable               : 1
enclose              : 1
endeavour            : 1
energies             : 1
engaging             : 1
enlightened          : 1
ensured              : 1
ensuring             : 1
enter                : 1
entered              : 1
entertain            : 1
entirety             : 1
entitled             : 1
epitome              : 1
epitomised           : 1
epoch                : 1
erected              : 1
erecting             : 1
error                : 1
errors               : 1
errs                 : 1
especial             : 1
essence              : 1
euclid               : 1
eventually           : 1
evershed             : 1
everyday             : 1
evinced              : 1
evolution            : 1
evolved              : 1
examining            : 1
exceed               : 1
exceeded             : 1
exceeds              : 1
excellent            : 1
exciting             : 1
exclude              : 1
exclusion            : 1
exclusive            : 1
exerted              : 1
existing             : 1
expanse              : 1
expansive            : 1
expend               : 1
expense              : 1
explain              : 1
explains             : 1
explanations         : 1
exporting            : 1
expressions          : 1
extend               : 1
extending            : 1
external             : 1
externally           : 1
extra                : 1
extraneous           : 1
eye                  : 1
face                 : 1
facility             : 1
fair                 : 1
fairer               : 1
falls                : 1
fast                 : 1
fasten               : 1
favoured             : 1
feature              : 1
fictitious           : 1
fifteenth            : 1
fifth                : 1
figure               : 1
file                 : 1
files                : 1
final                : 1
financial            : 1
fit                  : 1
fitness              : 1
fitted               : 1
fittingly            : 1
fitzgerald           : 1
fixes                : 1
flame                : 1
flow                 : 1
flowing              : 1
foci                 : 1
foot                 : 1
forest               : 1
foretold             : 1
formally             : 1
formats              : 1
forming              : 1
formulates           : 1
frame                : 1
frameworks           : 1
freewill             : 1
freundlich           : 1
fulfill              : 1
fully                : 1
function             : 1
fundamentally        : 1
fung                 : 1
furnish              : 1
gave                 : 1
generality           : 1
genesis              : 1
getting              : 1
giving               : 1
glance               : 1
goal                 : 1
goals                : 1
going                : 1
gone                 : 1
govern               : 1
governing            : 1
governs              : 1
grasp                : 1
grasping             : 1
gratefully           : 1
grave                : 1
gravitationial       : 1
grazing              : 1
grebe                : 1
gregory              : 1
gross                : 1
grossly              : 1
grown                : 1
grows                : 1
guilty               : 1
handling             : 1
hang                 : 1
happening            : 1
happy                : 1
harmless             : 1
harmony              : 1
hart                 : 1
hastening            : 1
hear                 : 1
hears                : 1
heat                 : 1
heated               : 1
heating              : 1
heavens              : 1
heaviness            : 1
height               : 1
held                 : 1
hereditary           : 1
highest              : 1
home                 : 1
honestly             : 1
hovering             : 1
htm                  : 1
http                 : 1
hundreds             : 1
hundredth            : 1
hundredths           : 1
hux                  : 1
hypertext            : 1
identification       : 1
identify             : 1
iines                : 1
illuminated          : 1
immense              : 1
impact               : 1
impenetrability      : 1
imperfections        : 1
implements           : 1
implies              : 1
impoverished         : 1
improbable           : 1
impulse              : 1
inaccuracy           : 1
inaccurate           : 1
incidence            : 1
includes             : 1
inclusive            : 1
incompatability      : 1
incompatibilitiy     : 1
incompatible         : 1
incongruity          : 1
incorrectness        : 1
indebted             : 1
indefinite           : 1
indemnify            : 1
indemnity            : 1
independence         : 1
indisputable         : 1
indistinguishable    : 1
induction            : 1
inevitable           : 1
inexperienced        : 1
infiniteness         : 1
infringement         : 1
ingenious            : 1
inhabited            : 1
inherent             : 1
inherited            : 1
inner                : 1
innumerable          : 1
inserting            : 1
insight              : 1
insufficient         : 1
insurmountable       : 1
intended             : 1
intention            : 1
interaction          : 1
interested           : 1
interesting          : 1
interfere            : 1
interference         : 1
interior             : 1
intermediate         : 1
internal             : 1
international        : 1
interpreting         : 1
intersect            : 1
intervention         : 1
intuition            : 1
invalidate           : 1
invalidates          : 1
invalidity           : 1
invariable           : 1
invented             : 1
inverse              : 1
inversely            : 1
investigator         : 1
investigators        : 1
invisible            : 1
ions                 : 1
irregular            : 1
irregularly          : 1
irs                  : 1
john                 : 1
joint                : 1
julius               : 1
justifiably          : 1
kepler               : 1
key                  : 1
kilometres           : 1
kinds                : 1
km                   : 1
knew                 : 1
land                 : 1
language             : 1
largest              : 1
laterally            : 1
lattice              : 1
lay                  : 1
lays                 : 1
le                   : 1
leading              : 1
legally              : 1
legitimately         : 1
legs                 : 1
liable               : 1
lib                  : 1
library              : 1
licensed             : 1
limit                : 1
limitations          : 1
linked               : 1
lives                : 1
load                 : 1
locate               : 1
locating             : 1
locations            : 1
lodged               : 1
lofty                : 1
looked               : 1
loose                : 1
loses                : 1
lot                  : 1
love                 : 1
luminous             : 1
lying                : 1
mach                 : 1
machine              : 1
magnificent          : 1
mail                 : 1
maintaining          : 1
maintains            : 1
maintenance          : 1
manager              : 1
manifest             : 1
manifested           : 1
manipulations        : 1
marking              : 1
marks                : 1
markup               : 1
mathematics          : 1
matriculation        : 1
matters              : 1
mature               : 1
meaningless          : 1
meant                : 1
measurable           : 1
merchantability      : 1
merely               : 1
merits               : 1
met                  : 1
meteorologist        : 1
metrics              : 1
michael              : 1
milky                : 1
millimetre           : 1
millionths           : 1
misconception        : 1
misdeed              : 1
mississippi          : 1
mistaken             : 1
moderate             : 1
modern               : 1
modify               : 1
molluscs             : 1
momentary            : 1
months               : 1
motherly             : 1
motionless           : 1
multi                : 1
mutual               : 1
mutually             : 1
mysterious           : 1
n                    : 1
names                : 1
naturwissenschaften  : 1
nearest              : 1
needs                : 1
negligence           : 1
negligibly           : 1
neighbour            : 1
network              : 1
neutralised          : 1
newby                : 1
newcomb              : 1
newsletter           : 1
nil                  : 1
noble                : 1
nonproprietary       : 1
north                : 1
notable              : 1
noted                : 1
notices              : 1
notifies             : 1
numbering            : 1
numerous             : 1
objective            : 1
obscure              : 1
observes             : 1
obsolete             : 1
occasion             : 1
occult               : 1
occupied             : 1
occupies             : 1
occurs               : 1
ocean                : 1
october              : 1
offer                : 1
offers               : 1
office               : 1
older                : 1
open                 : 1
operates             : 1
operating            : 1
operation            : 1
operative            : 1
opponents            : 1
opportunities        : 1
opportunity          : 1
opposes              : 1
opposite             : 1
opposition           : 1
ordinary             : 1
organized            : 1
organpipe            : 1
originally           : 1
originated           : 1
originator           : 1
ot                   : 1
outdated             : 1
outer                : 1
overcome             : 1
overlapping          : 1
owed                 : 1
pains                : 1
pair                 : 1
paperwork            : 1
parabolic            : 1
pardonable           : 1
particle             : 1
party                : 1
passed               : 1
passes               : 1
past                 : 1
pay                  : 1
pedantic             : 1
pedestrian           : 1
perceive             : 1
performances         : 1
performs             : 1
perhelion            : 1
perihelial           : 1
periphery            : 1
permissible          : 1
permit               : 1
perpetually          : 1
perplexing           : 1
pg                   : 1
pglaf                : 1
phenomenon           : 1
philosophical        : 1
photographed         : 1
photographic         : 1
pick                 : 1
picture              : 1
pipe                 : 1
pivot                : 1
platz                : 1
plausibility         : 1
plausible            : 1
play                 : 1
pleased              : 1
plunged              : 1
poincar              : 1
pointing             : 1
poised               : 1
ponder               : 1
popular              : 1
portrayed            : 1
possibilities        : 1
possibly             : 1
postulates           : 1
potzdammer           : 1
powerless            : 1
pr                   : 1
pre                  : 1
precept              : 1
precisely            : 1
predict              : 1
predictions          : 1
preferred            : 1
prejudices           : 1
premises             : 1
presence             : 1
pressure             : 1
presumes             : 1
pretence             : 1
prevails             : 1
prevent              : 1
primitive            : 1
principe             : 1
print                : 1
printing             : 1
priority             : 1
probability          : 1
problems             : 1
processing           : 1
production           : 1
professor            : 1
profit               : 1
profits              : 1
profound             : 1
prohibition          : 1
projected            : 1
prominence           : 1
prominent            : 1
promotion            : 1
pronounce            : 1
pronounced           : 1
proof                : 1
proofread            : 1
proportionally       : 1
proprietary          : 1
proud                : 1
proven               : 1
proves               : 1
province             : 1
provision            : 1
provisional          : 1
provisions           : 1
proximity            : 1
psychological        : 1
published            : 1
pulled               : 1
pulling              : 1
punitive             : 1
purchase             : 1
purponse             : 1
pursuance            : 1
pursue               : 1
pursuit              : 1
puts                 : 1
puzzled              : 1
quality              : 1
quantitatively       : 1
quantity             : 1
questions            : 1
quotient             : 1
radially             : 1
radiate              : 1
radiation            : 1
radii                : 1
radioactive          : 1
raise                : 1
raised               : 1
random               : 1
rapidly              : 1
reaction             : 1
readings             : 1
ready                : 1
realise              : 1
realized             : 1
receiving            : 1
recently             : 1
recognises           : 1
reconciled           : 1
recorded             : 1
rectilinearly        : 1
redistribute         : 1
reflecting           : 1
reflection           : 1
refraction           : 1
refrain              : 1
refrained            : 1
refrangible          : 1
regarding            : 1
regardless           : 1
regions              : 1
registration         : 1
regularly            : 1
regulating           : 1
reject               : 1
relationships        : 1
relativit            : 1
release              : 1
releases             : 1
reliable             : 1
reluctance           : 1
relying              : 1
remains              : 1
remarkable           : 1
remarked             : 1
remarks              : 1
remedies             : 1
remedy               : 1
remember             : 1
removing             : 1
renamed              : 1
rendered             : 1
repeat               : 1
repeatedly           : 1
repeating            : 1
repel                : 1
replaces             : 1
reported             : 1
reports              : 1
representation       : 1
representations      : 1
repulsions           : 1
requiring            : 1
rescued              : 1
resemblance          : 1
resembling           : 1
resistance           : 1
resolve              : 1
resolves             : 1
respective           : 1
rests                : 1
resuits              : 1
resulted             : 1
retaining            : 1
retarded             : 1
retention            : 1
returning            : 1
returns              : 1
revenue              : 1
revert               : 1
revised              : 1
revolving            : 1
rid                  : 1
riding               : 1
rightly              : 1
ripe                 : 1
rippled              : 1
rise                 : 1
robbed               : 1
rough                : 1
rule                 : 1
russian              : 1
sacred               : 1
salt                 : 1
satisfactorily       : 1
satisficd            : 1
satisfying           : 1
save                 : 1
saw                  : 1
says                 : 1
scarcely             : 1
scattered            : 1
scenes               : 1
schooldays           : 1
schwarzschild        : 1
scrupulously         : 1
sec                  : 1
secure               : 1
seeing               : 1
seek                 : 1
seized               : 1
selected             : 1
selection            : 1
semi                 : 1
send                 : 1
sending              : 1
sends                : 1
sensibly             : 1
separate             : 1
sequence             : 1
service              : 1
settings             : 1
settled              : 1
shape                : 1
share                : 1
shared               : 1
sharing              : 1
shortness            : 1
shuddering           : 1
shun                 : 1
sight                : 1
sign                 : 1
signification        : 1
signify              : 1
similarity           : 1
simpler              : 1
simplified           : 1
singular             : 1
sirius               : 1
sitter               : 1
slight               : 1
slovenliness         : 1
slower               : 1
slurs                : 1
smile                : 1
smoothly             : 1
snapshots            : 1
sobral               : 1
solely               : 1
solicitation         : 1
solid                : 1
sought               : 1
spaces               : 1
spacious             : 1
spared               : 1
spatial              : 1
spatially            : 1
species              : 1
specific             : 1
specifications       : 1
specify              : 1
spirit               : 1
spread               : 1
springer             : 1
st                   : 1
staff                : 1
stages               : 1
staircase            : 1
stands               : 1
started              : 1
starts               : 1
static               : 1
stationary           : 1
statistical          : 1
stimulus             : 1
stored               : 1
strange              : 1
strongly             : 1
struck               : 1
struggle             : 1
studied              : 1
styled               : 1
subscribe            : 1
subsequent           : 1
substances           : 1
substituting         : 1
substitutions        : 1
subtracting          : 1
succeeded            : 1
successful           : 1
successfully         : 1
successive           : 1
suggestive           : 1
supplement           : 1
supplementing        : 1
supported            : 1
surely               : 1
surprises            : 1
surprising           : 1
survive              : 1
swamp                : 1
swarm                : 1
symbol               : 1
symmetry             : 1
synonymous           : 1
tacit                : 1
tailor               : 1
tally                : 1
tangentially         : 1
taxes                : 1
teachers             : 1
tells                : 1
temptation           : 1
tenable              : 1
tenet                : 1
terminate            : 1
terrestrially        : 1
text                 : 1
texts                : 1
thankfully           : 1
thanks               : 1
thenceforward        : 1
theorems             : 1
theorie              : 1
thinking             : 1
thirty               : 1
thoughtful           : 1
thoughts             : 1
throwing             : 1
tick                 : 1
tied                 : 1
tip                  : 1
title                : 1
told                 : 1
touch                : 1
tour                 : 1
traced               : 1
transcribe           : 1
transferred          : 1
translated           : 1
translational        : 1
translatory          : 1
transmits            : 1
transport            : 1
traverse             : 1
trees                : 1
trom                 : 1
trustworthy          : 1
ts                   : 1
turn                 : 1
twenties             : 1
type                 : 1
types                : 1
ultimately           : 1
unanswerable         : 1
unattainable         : 1
unavoidable          : 1
uncertainty          : 1
unchanged            : 1
uncounted            : 1
undaunted            : 1
undergone            : 1
understanding        : 1
understood           : 1
undertook            : 1
undoubtedly          : 1
unenforceability     : 1
unequivocally        : 1
unexplained          : 1
unfamiliar           : 1
unfounded            : 1
unheard              : 1
uni                  : 1
unification          : 1
uniformity           : 1
unimportant          : 1
uniquely             : 1
uniting              : 1
units                : 1
universal            : 1
university           : 1
unjustifiable        : 1
unjustified          : 1
unlink               : 1
unprotected          : 1
unsolicited          : 1
unsuccessful         : 1
unsurpassable        : 1
untenable            : 1
untrue               : 1
useful               : 1
ut                   : 1
vaguely              : 1
vain                 : 1
valuable             : 1
vanish               : 1
vantage              : 1
variably             : 1
variant              : 1
variety              : 1
vary                 : 1
venture              : 1
venus                : 1
veritable            : 1
versa                : 1
version              : 1
vertical             : 1
vertically           : 1
vice                 : 1
vicinity             : 1
views                : 1
virus                : 1
visible              : 1
vision               : 1
visually             : 1
void                 : 1
volunteer            : 1
vt                   : 1
wait                 : 1
walks                : 1
wanderer             : 1
want                 : 1
warn                 : 1
water                : 1
wave                 : 1
waves                : 1
weak                 : 1
web                  : 1
weight               : 1
widespread           : 1
wit                  : 1
withal               : 1
withheld             : 1
withhold             : 1
wonderful            : 1
wood                 : 1
working              : 1
yearly               : 1
yes                  : 1
yielded              : 1
zeal                 : 1
zeeman               : 1
zur                  : 1
